GRAPH;TIME(s);LOWER BOUND;UPPER BOUND;GAP;TERMINATION CONDITION;CAPACITY;LENGTH;PROBABILITY;MINCAPACITY
data_Graph80_2_41;310.5546045303345;None;None;0;infeasible;93;100;80;2
data_Graph80_1_41;584.3490409851074;None;None;0;infeasible;94;100;80;1
data_Graph70_0_79;150.13890767097473;3.0;3.0;0.0;optimal;95;100;70;0
data_Graph90_2_7;666.1703562736511;None;None;0;infeasible;95;100;90;2
data_Graph90_2_41;788.2084286212921;None;None;0;infeasible;95;100;90;2
data_Graph80_0_17;235.41360592842102;3.0;3.0;0.0;optimal;96;100;80;0
data_Graph40_0_17;45.60903310775757;3.0;3.0;0.0;optimal;92;100;40;0
data_Graph50_2_41;5023.0417375564575;5.0;5.0;0.0;optimal;91;100;50;2
data_Graph60_1_41;154.4670844078064;3.0;3.0;0.0;optimal;93;100;60;1
data_Graph60_2_17;2909.262040615082;5.0;5.0;0.0;optimal;92;100;60;2
data_Graph90_2_79;344.8561329841614;None;None;0;infeasible;94;100;90;2
data_Graph70_0_41;127.42445826530457;3.0;3.0;0.0;optimal;95;100;70;0
data_Graph90_0_41;246.08214259147644;3.0;3.0;0.0;optimal;97;100;90;0
data_Graph90_1_41;2378.6942389011383;3.0;3.0;0.0;optimal;96;100;90;1
data_Graph50_1_17;1238.3037185668945;3.0;3.0;0.0;optimal;91;100;50;1
data_Graph50_0_7;68.9216296672821;3.0;3.0;0.0;optimal;92;100;50;0
data_Graph50_2_79;1079.7296350002289;3.0;3.0;0.0;optimal;91;100;50;2
data_Graph40_2_43;1429.260630607605;3.0;3.0;0.0;optimal;89;100;40;2
data_Graph50_1_7;2134.635892391205;5.0;5.0;0.0;optimal;91;100;50;1
data_Graph60_1_79;245.5307013988495;3.0;3.0;0.0;optimal;93;100;60;1
data_Graph60_0_79;82.8845796585083;3.0;3.0;0.0;optimal;94;100;60;0
data_Graph80_0_43;850.190013885498;3.0;3.0;0.0;optimal;95;100;80;0
data_Graph50_2_7;331.1778085231781;None;None;0;infeasible;90;100;50;2
data_Graph90_1_17;365.0485038757324;None;None;0;infeasible;95;100;90;1
data_Graph70_1_17;398.9100525379181;None;None;0;infeasible;93;100;70;1
data_Graph70_0_17;134.58264875411987;3.0;3.0;0.0;optimal;94;100;70;0
data_Graph60_1_79;75.34096717834473;3.0;3.0;0.0;optimal;93;100;60;1
data_Graph60_1_7;78.48041534423828;3.0;3.0;0.0;optimal;93;100;60;1
data_Graph50_0_41;58.79932141304016;3.0;3.0;0.0;optimal;93;100;50;0
data_Graph40_2_17;48.595329999923706;3.0;3.0;0.0;optimal;90;100;40;2
data_Graph60_0_7;78.49450159072876;3.0;3.0;0.0;optimal;94;100;60;0
data_Graph70_1_17;1969.4348096847534;None;None;0;infeasible;93;100;70;1
data_Graph80_1_79;394.28041315078735;3.0;3.0;0.0;optimal;95;100;80;1
data_Graph40_1_7;67.5386815071106;3.0;3.0;0.0;optimal;90;100;40;1
data_Graph40_0_7;54.92738151550293;3.0;3.0;0.0;optimal;91;100;40;0
data_Graph50_2_43;62.38337731361389;3.0;3.0;0.0;optimal;91;100;50;2
data_Graph70_2_79;537.2583391666412;None;None;0;infeasible;93;100;70;2
data_Graph40_2_7;6182.690668106079;5.0;5.0;0.0;optimal;89;100;40;2
data_Graph50_1_43;57.95612835884094;3.0;3.0;0.0;optimal;92;100;50;1
data_Graph50_0_43;58.998995542526245;3.0;3.0;0.0;optimal;93;100;50;0
data_Graph50_0_7;65.45181393623352;3.0;3.0;0.0;optimal;92;100;50;0
data_Graph60_2_17;2524.9523997306824;5.0;5.0;0.0;optimal;92;100;60;2
data_Graph60_1_43;71.37094593048096;3.0;3.0;0.0;optimal;93;100;60;1
data_Graph50_2_43;90.34926724433899;3.0;3.0;0.0;optimal;91;100;50;2
data_Graph90_2_43;403.75558257102966;None;None;0;infeasible;95;100;90;2
data_Graph80_2_41;539.1380686759949;None;None;0;infeasible;93;100;80;2
data_Graph40_1_43;53.39390969276428;3.0;3.0;0.0;optimal;90;100;40;1
data_Graph90_2_7;374.8402886390686;None;None;0;infeasible;95;100;90;2
data_Graph80_1_43;866.6088879108429;None;None;0;infeasible;94;100;80;1
data_Graph90_1_41;11795.856832027435;3.0;3.0;0.0;optimal;96;100;90;1
data_Graph50_2_17;300.31283807754517;None;None;0;infeasible;90;100;50;2
