GRAPH;TIME(s);LOWER BOUND;UPPER BOUND;GAP;TERMINATION CONDITION;CAPACITY;LENGTH;PROBABILITY;MINCAPACITY
data_Graph60_2_7;129326.36433506012;5.0;5.0;0.0;optimal;92;100;60;2
data_Graph40_1_41;45.04257273674011;3.0;3.0;0.0;optimal;90;100;40;1
data_Graph40_1_17;48.532979249954224;3.0;3.0;0.0;optimal;91;100;40;1
data_Graph40_1_41;44.501450538635254;3.0;3.0;0.0;optimal;90;100;40;1
data_Graph40_1_41;52.29795289039612;3.0;3.0;0.0;optimal;90;100;40;1
data_Graph40_1_43;53.58521127700806;3.0;3.0;0.0;optimal;90;100;40;1
data_Graph40_1_79;53.87879395484924;3.0;3.0;0.0;optimal;90;100;40;1
data_Graph40_1_43;53.66690373420715;3.0;3.0;0.0;optimal;90;100;40;1
data_Graph40_1_43;53.22116947174072;3.0;3.0;0.0;optimal;90;100;40;1
data_Graph40_1_79;57.74421739578247;3.0;3.0;0.0;optimal;90;100;40;1
data_Graph40_1_7;58.70348501205444;3.0;3.0;0.0;optimal;90;100;40;1
data_Graph40_1_79;62.42720985412598;3.0;3.0;0.0;optimal;90;100;40;1
data_Graph40_1_17;72.98814678192139;3.0;3.0;0.0;optimal;91;100;40;1
data_Graph40_1_7;81.61901068687439;3.0;3.0;0.0;optimal;90;100;40;1
data_Graph40_1_17;94.71501684188843;3.0;3.0;0.0;optimal;91;100;40;1
data_Graph40_2_17;47.48145651817322;3.0;3.0;0.0;optimal;90;100;40;2
data_Graph40_2_17;51.379058599472046;3.0;3.0;0.0;optimal;90;100;40;2
data_Graph40_2_41;40.86333656311035;3.0;3.0;0.0;optimal;89;100;40;2
data_Graph40_1_7;166.65362334251404;3.0;3.0;0.0;optimal;90;100;40;1
data_Graph40_2_43;50.30861735343933;3.0;3.0;0.0;optimal;89;100;40;2
data_Graph40_2_43;49.90004873275757;3.0;3.0;0.0;optimal;89;100;40;2
data_Graph40_2_17;69.45730352401733;3.0;3.0;0.0;optimal;90;100;40;2
data_Graph40_2_79;109.60582900047302;3.0;3.0;0.0;optimal;89;100;40;2
data_Graph50_1_41;53.17454934120178;3.0;3.0;0.0;optimal;92;100;50;1
data_Graph50_1_41;55.5061571598053;3.0;3.0;0.0;optimal;92;100;50;1
data_Graph50_1_43;65.85603952407837;3.0;3.0;0.0;optimal;92;100;50;1
data_Graph40_2_79;262.29561376571655;3.0;3.0;0.0;optimal;89;100;40;2
data_Graph40_2_79;276.44161438941956;3.0;3.0;0.0;optimal;89;100;40;2
data_Graph50_1_41;171.44974899291992;3.0;3.0;0.0;optimal;92;100;50;1
data_Graph50_1_43;58.146647453308105;3.0;3.0;0.0;optimal;92;100;50;1
data_Graph50_1_43;61.00431489944458;3.0;3.0;0.0;optimal;92;100;50;1
data_Graph50_1_79;63.38296461105347;3.0;3.0;0.0;optimal;92;100;50;1
data_Graph50_1_79;73.67573475837708;3.0;3.0;0.0;optimal;92;100;50;1
data_Graph50_1_79;67.00580406188965;3.0;3.0;0.0;optimal;92;100;50;1
data_Graph50_2_17;295.8774268627167;None;None;0;infeasible;90;100;50;2
data_Graph50_2_17;309.65436482429504;None;None;0;infeasible;90;100;50;2
data_Graph50_2_17;329.2523732185364;None;None;0;infeasible;90;100;50;2
data_Graph40_2_41;1340.724098443985;3.0;3.0;0.0;optimal;89;100;40;2
